name,x,y
Dalhem,96.2117355894,14.7167648732
Damme,-74.3438097545,-45.6206827899
Dampicourt,80.423677643,141.5476267856
Dampremy,5.6514873533,47.33670702
Darion,58.6096229219,20.1448894206
Daussois,7.2787208968,69.2905094901
Daussoulx,36.8551094484,36.4652892475
Dave,38.7716268919,48.1659099299
Daverdisse,53.7977472709,90.8541520703
De Haan,-94.4919025602,-44.0748143835
De Klinge,-18.3741430967,-45.7496624858
De Moeren,-123.2252298227,-21.0804710937
De Panne,-124.258386184,-27.6115551369
De Pinte,-49.2606531214,-16.2338797645
Deerlijk,-69.4193027463,0.8635996691
Deftinge,-35.8379865217,6.6851087785
Deinze,-57.8340057572,-15.3011946564
Denderbelle,-17.9792104948,-17.2054536871
Denderhoutem,-24.2593491066,-3.5016841868
Denderleeuw,-20.0066364768,-4.2057481439
Dendermonde,-17.7919689096,-20.5617038841
Denderwindeke,-22.9823111051,5.3242969545
Dentergem,-66.6118015179,-13.3035523217
Denée,28.0361676364,58.4085257941
Dergneau,-55.0837841948,14.8664842187
Dessel,53.4314046779,-43.8574655644
Desselgem,-69.0942480023,-4.0542750734
Destelbergen,-38.8561628467,-23.2835704679
Desteldonk,-39.857904335,-30.7181864887
Deurle,-51.9569643216,-17.088969345
Deurne,8.2670481082,-40.7157176222
Deurne,52.2536834731,-21.4552464733
Deux-Acren,-35.0453340827,12.8545080614
Dhuy,35.47953011,31.7804665959
Diegem,5.9502220782,-5.3363561082
Diepenbeek,74.9561684464,-6.8152209983
Diest,49.1957742829,-15.3584634692
Diets-Heur,79.4691129195,11.2707529155
Dikkebus,-106.6966382527,3.0383588456
Dikkele,-42.7879153973,-6.3267583958
Dikkelvenne,-46.4644475441,-7.9078474615
Diksmuide,-104.3290227784,-20.7972750363
Dilbeek,-6.0315980148,0.2745783705
Dilsen,94.539274793,-20.7438006145
Dilsen-Stokkem,96.7841783408,-20.2547578907
Dinant,39.3413103413,64.6840099264
Dion,37.6546076934,80.3546434649
Dion-Valmont,21.7350034706,14.5001672376
Dison,105.4557854998,26.0682325364
Dochamps,89.1989347642,67.6044447967
Doel,-7.4413244529,-52.6707001087
Dohan,55.4390692951,115.3010015123
Doische,27.6524950896,78.3957562906
Dolembreux,89.5477256447,34.2201556096
Donceel,67.9336852989,22.0285024107
Dongelberg,32.8803457599,16.0800688269
Donk,38.8457368098,-12.4217088313
Donstiennes,-2.7852743758,61.9834800847
Dorinne,43.6092499622,58.4772007892
Dormaal,51.9439158045,4.4665192929
Dottignies,-73.5271979932,13.2242219483
Dour,-40.0628748891,49.6195981751
Dourbes,16.8214914998,83.2491371472
Dranouter,-110.0415508595,8.9124785892
Driekapellen,-25.6914178784,15.5986307705
Drieslinter,49.2288949568,0.1881856191
Drogenbos,-2.4095511559,6.6657874911
Drongen,-49.9678131574,-22.9792978586
Dréhance,41.1932158601,67.3161450459
Dudzele,-78.7544172076,-47.8009575736
Duffel,10.8401176019,-27.7612393568
Duisburg,13.577101865,3.9437966359
Duras,55.7407879067,1.3827002505
Durbuy,77.4972378141,54.6218836272
Durnal,44.484714322,56.1977414667
Dworp,-3.9768887732,12.4658505862
Eben-Emael,92.5114115911,5.2329817864
Ebly,83.013965999,109.4817714723
Ecaussinnes,-12.3798875003,30.6834835992
Ecaussinnes-D'enghien,-12.212825343,30.4772826399
Ecaussinnes-Lalaing,-12.1481712848,30.6013621131
Edegem,6.0852273292,-34.6657155534
Edelare,-50.7643037478,1.6513067589
Eeklo,-55.0840297609,-37.6875015572
Eernegem,-93.215130838,-31.3909668232
Egem,-77.0118950053,-19.4156970789
Eggewaartskapelle,-113.7934034148,-22.6033907698
Eghezée,38.8173633956,28.2384280024
Ehein,76.6683889251,33.4553896984
Eigenbilzen,85.8684754791,-3.0937660817
Eindhout,45.2958703492,-28.4310758879
Eine,-51.1522912427,-2.5548132481
Eisden,95.5009899843,-15.5521746189
Eke,-49.8074166702,-12.2801256925
Ekeren,5.6543414085,-48.8618374941
Eksaarde,-27.1164662895,-33.6905626249
Eksel,69.6248030079,-34.5882921165
Elen,97.4338826945,-24.823686764
Elene,-38.1573166755,-4.9171152613
Elewijt,10.9358948436,-13.6838478849
Eliksem,46.0117450868,6.602601607
Elingen,-12.4536365037,7.4624728872
Ellemelle,76.561630797,42.0699695649
Ellezelles,-47.1129737038,12.5068277394
Ellignies-Lez-Frasnes,-53.4163760297,19.0533985235
Ellikom,82.5978825119,-31.6315434711
Elouges,-42.068448686,48.979492907
Elsegem,-57.1876756604,2.4264156079
Elsenborn,131.1804319859,43.0742679788
Elst,84.4704112794,8.6586750208
Elverdinge,-108.2658894678,-3.8510798001
